"company_id","name","link","link_google","thumbnail"
10,"Signify Technology","","https://www.google.com/search?q=Signify+Technology&sa=X&ved=0ahUKEwj-xvuHwKv_AhXYGFkFHeTTAHY4RhCYkAII3Q0","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRA2IZThGwNjlpA9Ws6OUi9x-iGC47Oeyx6ZbtKVog&s"
11,"Cloudwall Capital SG","","https://www.google.com/search?hl=en&gl=us&q=Cloudwall+Capital+SG&sa=X&ved=0ahUKEwjep8y9xY2AAxVKEVkFHWoWBbI4ChCYkAIIoQw",""
12,"Agoda","http://www.agoda.com/","https://www.google.com/search?sca_esv=568736477&hl=en&gl=us&q=Agoda&sa=X&ved=0ahUKEwjShMikkcqBAxVjD0QIHdJ6ASkQmJACCP0I","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSlAAl3lHop538cKW63Inc8NOSOXelrEednawpd3z0&s"
13,"Genuine Parts Company","http://www.genpt.com/","https://www.google.com/search?gl=us&hl=en&q=Genuine+Parts+Company&sa=X&ved=0ahUKEwjuqs-K3Kj-AhUdFlkFHc0xA404jAEQmJACCOQL",""
14,"Karius","http://kariusdx.com/","https://www.google.com/search?hl=en&gl=us&q=Karius&sa=X&ved=0ahUKEwibkabX56aAAxUWD1kFHWUyBwg4ZBCYkAIIzA0",""
15,"Verdant Infotech Solutions","","https://www.google.com/search?hl=en&gl=us&q=Verdant+Infotech+Solutions&sa=X&ved=0ahUKEwi2k9DBgYGAAxWQkokEHVfwA784ChCYkAIIzQo","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRspgWBXnL85XiPH6lQv8ZjpxwMdZZsp3yGGPKmdlg&s"
16,"Resurs Bank","http://www.resursbank.se/","https://www.google.com/search?gl=us&hl=en&q=Resurs+Bank&sa=X&ved=0ahUKEwiL0eTVnfT-AhU8kYkEHTbOBZkQmJACCLsL","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRy7BDVLI1v0TTiEd_1-A9erQIeLXnbzmstT3FzCrk&s"
17,"DevsData Tech Talent LLC - IT Recruitment","","https://www.google.com/search?q=DevsData+Tech+Talent+LLC+-+IT+Recruitment&sa=X&ved=0ahUKEwi7mNPqoab-AhUjFlkFHVjeD1kQmJACCJkM",""
18,"Engtal","","https://www.google.com/search?gl=us&hl=en&q=Engtal&sa=X&ved=0ahUKEwjliZ7wqvn-AhUDlIkEHX6jB8E4KBCYkAIIoAw","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcREGkSZLdjqPGzJSHXQShNhWfo51r8NvFZ3co8387M&s"
19,"Enlighten","","https://www.google.com/search?sca_esv=575547564&gl=us&hl=en&q=Enlighten&sa=X&ved=0ahUKEwjGhN71_oiCAxWwnGoFHfk7C3c4lgEQmJACCJoN","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQaSeTPtJ5z9keoDOPt-1Q_85DQ7NwJvwyI8hygRMQ&s"
